ElementID,Type,STRIDE,Description,AttackScenario,Likelihood,Impact,Priority,Mitigation
P1,Process,T,API Gateway request smuggling,"Attacker crafts ambiguous HTTP requests to bypass Kong/Zuul gateway routing rules and reach internal microservices directly, potentially accessing admin-only endpoints.",Medium,High,High,"Normalize and validate HTTP requests at gateway, disable HTTP/1.0, enforce strict parsing, and run regular smuggling tests."
P2,Process,S,OTP brute-force on Flipkart login,Flipkart uses OTP-based mobile login. Attacker automates rapid OTP guesses (4-6 digit) against /api/auth/verify-otp to take over accounts without knowing the password.,High,High,High,"Rate-limit OTP attempts per phone number, enforce exponential backoff, use CAPTCHA after failed attempts, and expire OTPs within 60 seconds."
P2,Process,S,Credential stuffing on email/password login,Attacker uses leaked credential databases to automate login attempts against Flipkart accounts that still use email/password.,High,High,High,"Breached-password detection, adaptive MFA, device fingerprinting, and account lockout after repeated failures."
P5,Process,T,Price/coupon tampering during checkout,"Attacker intercepts Flipkart checkout API calls and modifies cart total, discount amount, or coupon code in the request body to pay less than the actual price.",Medium,High,High,"Server-side price recalculation from catalog DB, signed cart tokens, coupon validation on backend, and re-verify totals before payment."
P6,Process,E,IDOR on order details and address endpoints,"Authenticated customer changes orderId or addressId in /api/orders/{id} or /api/address/{id} to view or modify another user's order details, delivery address, or phone number.",High,High,High,Enforce object-level authorization: verify that the requesting user owns the resource on every API call. Use UUIDs instead of sequential IDs.
E2,External Entity,S,Fake seller registration and listing fraud,"Attacker registers as a seller with stolen GST/PAN details, lists counterfeit or non-existent products at attractive prices, collects payments, and never ships goods.",Medium,High,High,"KYC verification (video, bank account, GST validation), seller escrow with delayed payouts, and automated fraud scoring."
F4,Data Flow,S,Razorpay/PayU webhook spoofing,Attacker forges a payment success webhook to /api/payment/callback causing Flipkart to mark an unpaid order as paid and ship the product.,Medium,High,High,"Verify webhook HMAC signatures using shared secret, validate payment amount matches order total, and perform server-to-server verification with Razorpay Orders API."
D1,Data Store,I,"Mass user PII exposure (phone, Aadhaar, address)","Database breach or misconfigured backup exposes 400M+ user records including phone numbers, delivery addresses, and saved payment methods to attackers.",Medium,High,High,"Encrypt sensitive columns (AES-256), use envelope encryption with AWS KMS, restrict DB access via IAM, encrypt backups, and implement data masking for non-production environments."
P3,Process,T,SQL injection on product search/filter,"Attacker injects SQL via search query, price range filter, or sort parameter on /api/products/search to extract product catalog data, seller information, or pricing strategies.",Medium,High,High,"Use parameterized queries for MySQL, validate Elasticsearch query DSL, sanitize all filter inputs, and use ORM (Hibernate) consistently."
P5,Process,D,Flash sale DDoS (Big Billion Days),"During Flipkart Big Billion Days sale, attackers or scalper bots flood the cart/checkout APIs with millions of requests to exhaust inventory holds and crash the checkout pipeline.",High,High,High,"CDN-level DDoS protection (Akamai), rate limiting per user/IP, queue-based checkout (virtual waiting room), bot detection via device fingerprinting, and auto-scaling cart microservice."
